Temperatura,Spaliny,Ciśnienie,Wilgotność,Moc
8.3399999999999999,40.770000000000003,1010.84,90.010000000000005,480.48000000000002
23.640000000000001,58.490000000000002,1011.4,74.200000000000003,445.75
29.739999999999998,56.899999999999999,1007.15,41.909999999999997,438.75999999999999
19.07,49.689999999999998,1007.22,76.790000000000006,453.08999999999997
11.800000000000001,40.659999999999997,1017.13,97.200000000000003,464.43000000000001
13.970000000000001,39.159999999999997,1016.05,84.599999999999994,470.95999999999998
22.100000000000001,71.290000000000006,1008.2,75.379999999999995,442.35000000000002
14.470000000000001,41.759999999999998,1021.98,78.409999999999997,464
31.25,69.510000000000005,1010.25,36.829999999999998,428.76999999999998
6.7699999999999996,38.18,1017.8,81.129999999999995,484.31
28.280000000000001,68.670000000000002,1006.36,69.900000000000006,435.29000000000002
22.989999999999998,46.93,1014.15,49.420000000000002,451.41000000000003
29.300000000000001,70.040000000000006,1010.95,61.229999999999997,426.25
8.1400000000000006,37.490000000000002,1009.04,80.329999999999998,480.66000000000003
16.920000000000002,44.600000000000001,1017.34,58.75,460.17000000000002
22.719999999999999,64.150000000000006,1021.14,60.340000000000003,453.13
18.140000000000001,43.560000000000002,1012.83,47.100000000000001,461.70999999999998
11.49,44.630000000000003,1020.4400000000001,86.040000000000006,471.07999999999998
9.9399999999999995,40.460000000000001,1018.9,68.510000000000005,473.74000000000001
23.539999999999999,41.100000000000001,1002.05,38.049999999999997,448.56
14.9,52.049999999999997,1015.11,77.329999999999998,464.81999999999999
33.799999999999997,64.959999999999994,1004.88,49.369999999999997,427.27999999999997
25.370000000000001,68.310000000000002,1011.12,70.989999999999995,441.75999999999999
7.29,41.039999999999999,1024.0599999999999,89.189999999999998,474.70999999999998
13.550000000000001,40.710000000000001,1019.13,75.439999999999998,467.20999999999998
6.3899999999999997,35.57,1025.53,77.230000000000004,487.69
26.640000000000001,62.439999999999998,1011.8099999999999,72.459999999999994,438.67000000000002
7.8399999999999999,41.390000000000001,1018.21,91.920000000000002,485.66000000000003
21.82,58.659999999999997,1011.71,64.370000000000005,452.16000000000003
27.170000000000002,67.450000000000003,1015.67,49.030000000000001,429.87
13.42,41.229999999999997,994.16999999999996,95.790000000000006,468.81999999999999
20.77,56.850000000000001,1012.4,83.629999999999995,442.85000000000002
8.2899999999999991,36.079999999999998,1020.38,81.530000000000001,483.25999999999999
30.98,67.450000000000003,1015.1799999999999,45.399999999999999,433.58999999999997
31.960000000000001,71.290000000000006,1008.39,47.509999999999998,433.04000000000002
15.83,52.75,1024.3,58.340000000000003,458.60000000000002
22.559999999999999,70.790000000000006,1005.85,93.090000000000003,435.13999999999999
25.91,75.599999999999994,1018.23,62.649999999999999,443.19999999999999
8.2400000000000002,39.609999999999999,1017.99,78.420000000000002,477.89999999999998
24.66,60.289999999999999,1018,59.560000000000002,445.25999999999999
29.309999999999999,68.670000000000002,1006.1799999999999,63.380000000000003,435.56999999999999
21.48,66.909999999999997,1008.58,84.489999999999995,447.42000000000002
18.280000000000001,44.710000000000001,1016.99,33.710000000000001,462.27999999999997
26.960000000000001,65.340000000000003,1015.05,46.93,441.81
16.010000000000002,65.459999999999994,1014,87.680000000000007,454.16000000000003
27.370000000000001,63.729999999999997,1009.79,65.25,437.24000000000001
16.300000000000001,39.630000000000003,1004.64,85.609999999999999,464.11000000000001
23.800000000000001,48.600000000000001,1002.4299999999999,67.319999999999993,440.88999999999999
8.1899999999999995,41.659999999999997,1016.5700000000001,75.379999999999995,485.19999999999999
25.280000000000001,67.689999999999998,1009.05,68.540000000000006,445.33999999999997
21.469999999999999,70.319999999999993,1011.72,88.359999999999999,440
30.539999999999999,67.450000000000003,1014.37,32.969999999999999,431.35000000000002
18.300000000000001,44.060000000000002,1017.95,63.240000000000002,456.31999999999999
25.82,72.390000000000001,1003.4,86.329999999999998,432.98000000000002
31.120000000000001,69.129999999999995,1009.61,56.539999999999999,429.41000000000003
15.99,39.630000000000003,1006.09,89.920000000000002,464.94999999999999
8.4199999999999999,42.280000000000001,1008.4,87.780000000000001,481.91000000000003
23.699999999999999,69.230000000000004,1011.73,73.180000000000007,437.14999999999998
15.710000000000001,40.119999999999997,1012.8099999999999,97.459999999999994,462.60000000000002
29.109999999999999,74.900000000000006,1003.3099999999999,74.010000000000005,432.43000000000001
23.73,61.020000000000003,1009.71,78.700000000000003,442.22000000000003
